min_x,min_y,min_z,max_x,max_y,max_z,peaks_x,peaks_y,peaks_z,mean_x,mean_y,mean_z,std_x,std_y,std_z,label
-36,128,-1076,-20,144,-1040,0,0,0,-26.68,134.64,-1059.2,4.002204,4.426042,6.480741,0
-20,140,-1076,-4,160,-1040,0,0,0,-13.32,149.8,-1057.76,4.527428,4.711605,7.721723,0
440,136,-848,640,244,-708,0,0,0,590.96,167.48,-782.92,36.10878,17.98366,21.71837,0
448,-692,-628,552,-640,-508,0,0,0,508.84,-661.84,-550.64,19.45106,10.07627,21.15198,0
-448,-760,560,-348,-712,732,0,0,0,-389.16,-739.28,652.68,20.01796,11.16076,33.50979,0
304,-732,620,372,-696,680,0,0,0,340.84,-713.96,648.12,14.70013,7.275816,11.47416,0
-72,-204,1020,-12,-176,1084,0,0,0,-33.8,-191.76,1046.52,10.23523,6.243747,12.29837,0
-168,80,1036,-108,112,1088,0,0,0,-141.84,97.68001,1059.2,11.26301,6.201373,11.91113,0
-320,-68,-1072,-228,-12,-1028,0,0,0,-270.12,-41.8,-1042.2,14.86423,8.950977,8.5,0
-884,148,-648,-824,184,-616,0,0,0,-839.9199,171.84,-629.36,8.982622,5.540335,7.636262,0
656,-284,-720,768,-176,-560,0,0,0,691.9199,-223.44,-665.12,23.08341,21.67408,33.97931,0
780,-164,500,820,-104,540,0,0,0,802.12,-124.24,516.72,8.108638,11.49359,9.354143,0
-156,1012,-132,-96,1048,-68,0,0,0,-124.48,1031.36,-96.48001,13.55613,5.798707,12.44868,0
-344,896,392,-312,928,452,0,0,0,-328.8,911.44,426.32,7.267221,7.737894,13.19564,0
-312,596,-836,-276,656,-772,0,0,0,-292.28,627.64,-807.84,7.315437,11.17195,12.37942,0
-240,8,-1072,-204,48,-1020,0,0,0,-223.28,24.8,-1048.8,7.383999,6.95126,7.416198,0
-868,40,-668,-820,96,-620,0,0,0,-840.72,63.92,-648.96,8.131728,8.560019,11.05667,0
596,-116,-792,644,-76,-760,0,0,0,613.84,-95.16001,-775.68,9.554122,6.152521,6.78233,0
284,-444,-908,344,-396,-840,0,0,0,310.56,-427.12,-884.4399,10.49963,9.985928,12.48249,0
-112,644,-856,-68,680,-788,0,0,0,-81.96,662.88,-818.12,8.588294,6.597822,11.62702,0
-488,300,-924,-460,336,-896,0,0,0,-475.6,322.08,-909.7199,5.440014,5.865684,5.99479,0
556,8,-844,612,72,-772,0,0,0,577.92,34.12,-813.32,9.559027,9.28578,12.45743,0
-84,20,-1088,-64,36,-948,0,0,0,-72.84,27.28,-1064.28,4.500543,4.171516,13.67022,0
-40,96,-1076,-12,140,-1040,0,0,0,-23.56,117.24,-1061.2,4.661163,5.95171,5.84166,0
-292,-1000,-472,-192,-904,-264,0,0,0,-242.12,-954.6,-371.28,25.37685,16.61325,44.40668,0
-1648,-344,-2040,1220,276,452,3,0,3,-250.44,39.76,-1017.0,563.9702,163.9335,581.6402,1
-1820,-516,-1920,1172,248,532,2,0,4,-151.76,-20.4,-1060.56,612.3621,195.7439,607.0234,1
-1512,-480,-1928,1192,220,308,5,0,3,-70.88,-13.56,-1066.4,604.899,176.0881,538.7574,1
-1740,-616,-2040,1472,252,504,3,1,5,-81.32,-33.64,-1032.16,637.471,230.2604,583.4713,1
-1384,-1500,-1948,1232,164,384,3,1,5,-126.96,-31.12,-1010.44,566.6609,202.8363,539.1962,1
-1572,-596,-1992,1084,340,260,1,0,6,-139.56,-9.96,-1010.12,588.6801,166.0848,544.1799,1
-1584,-456,-1940,940,340,400,0,1,4,-212.44,25.12,-1026.32,546.5563,184.2642,503.7045,1
-1468,-344,-1840,1296,480,240,2,2,2,-177.88,20.76,-1026.76,566.4227,179.5717,488.8627,1
-1424,-352,-1916,1004,452,-180,0,0,4,-147.72,40.32,-1044.64,554.932,179.9873,475.6457,1
-1548,-624,-1920,1140,668,432,3,1,1,-208.36,-0.92,-1067.24,556.4945,289.1133,580.2064,1
-1400,-588,-2040,1212,388,424,3,0,5,-120.12,-17.8,-1042.04,576.7816,243.8527,597.8426,1
-1360,-568,-2032,1172,368,352,3,0,1,-74.96,-25.68,-1087.68,541.6906,240.622,510.8508,1
-1956,-720,-1988,1380,400,256,4,0,5,-145.52,-58.32,-1005.64,699.6179,288.6117,563.7478,1
-1548,-500,-2040,1436,556,444,3,1,5,-216.0,33.76,-982.1199,650.7652,231.9147,561.3416,1
-1996,-592,-2040,1244,324,520,3,0,6,-289.72,26.68,-993.24,603.4024,223.0294,592.7824,1
-1516,-724,-1828,1104,400,452,3,0,2,-215.0,-43.8,-1054.8,568.7863,259.6209,531.2751,1
-1508,-404,-2040,1468,292,360,0,0,1,-169.08,25.28,-1020.28,662.0228,195.9926,540.4612,1
-1524,-484,-1864,868,320,300,2,0,4,-278.2,-31.44,-994.24,570.115,206.6053,485.3226,1
-1720,-600,-1696,1408,356,160,4,0,6,-261.0,-65.44,-999.0,651.7828,233.1561,438.7003,1
-1664,-1084,-2040,768,476,480,1,2,5,-355.84,99.2,-944.4799,560.3976,221.3363,603.2993,1
-1632,-344,-2040,1032,872,440,2,1,3,-289.92,65.52,-1031.44,547.3717,196.4638,553.2847,1
-1452,-356,-1852,800,384,376,2,0,4,-336.24,40.44,-1005.64,511.0725,192.5583,507.9187,1
-1476,-508,-1816,928,296,416,1,0,1,-155.28,-33.28,-1051.8,515.383,203.0369,542.2657,1
-1656,-436,-1916,1012,328,608,1,0,4,-230.4,-39.2,-1059.08,560.0595,185.26,563.3262,1
-1548,-560,-2040,1188,304,380,1,0,5,-237.88,-76.88,-1057.88,580.8472,223.0168,554.1842,1
-2040,-820,-1560,2040,396,-344,0,0,3,-142.56,12.96,-956.12,1113.579,390.7462,294.3046,2
-2040,-1932,-2040,2040,532,-84,3,1,4,-235.0,-63.2,-905.24,1211.003,582.9736,374.3806,2
-2040,-2040,-2040,2040,476,80,3,4,4,-186.16,-128.32,-896.52,1170.826,658.6946,475.2841,2
-2040,-1044,-1756,2040,488,-104,2,0,9,-199.36,-63.12,-953.76,1163.378,403.7986,398.5717,2
-2040,-1812,-2040,2040,552,-4,0,3,3,-216.56,-64.44,-919.0399,1227.369,553.4271,428.0236,2
-2040,-1804,-1972,2040,508,376,1,0,6,-217.0,-30.52,-903.0399,1143.897,564.8481,544.9771,2
-2040,-2036,-1792,2040,784,-188,2,1,7,-238.2,-31.56,-964.16,1202.795,658.1462,334.677,2
-2040,-1908,-1896,2040,532,-184,0,2,3,-228.56,-102.36,-934.8,1171.983,655.8352,316.1152,2
-2040,-2040,-1940,2040,264,136,1,1,6,-332.44,-247.76,-854.52,1189.64,644.8853,365.6463,2
-2040,-1324,-1772,2040,388,-160,1,1,2,-265.04,-109.96,-885.76,1214.749,444.0748,411.0989,2
-2040,-1692,-1668,2040,520,-88,0,2,2,-269.28,-129.48,-875.6,1149.956,545.423,354.2251,2
-2040,-1116,-1852,2040,372,-172,2,1,2,-276.64,-85.56,-874.32,1118.743,414.0106,397.9327,2
-2040,-1196,-1624,2040,432,-100,1,1,3,-225.84,-107.72,-884.88,1155.192,446.5556,400.1518,2
-2040,-1308,-1636,2040,456,-8,4,2,3,-202.8,-120.56,-880.4399,1192.491,465.4281,376.6186,2
-2040,-1468,-1784,2040,484,72,2,1,0,-288.48,-59.8,-900.6,1107.025,473.7808,423.631,2
-2040,-1020,-1564,2040,524,-80,1,0,3,-212.52,-73.24,-870.7999,1184.254,414.4196,371.6719,2
-2040,-1664,-1552,2040,420,-84,3,2,2,-206.32,-88.16001,-914.36,1191.754,503.608,344.4881,2
-2040,-1312,-1724,2040,528,4,3,1,1,-223.72,-57.24,-923.92,1162.951,458.2487,368.4124,2
-2040,-1112,-1832,2040,348,-160,3,1,2,-248.36,-124.52,-931.08,1154.495,394.9297,432.3997,2
-2040,-1048,-1600,1940,416,-116,3,0,4,-187.04,-140.6,-904.44,1180.718,393.7733,372.876,2
-2040,-1096,-1624,2040,516,-220,2,2,5,-187.04,-157.72,-908.84,1224.455,433.6436,324.1107,2
-1900,-856,-1980,2040,432,600,2,0,4,-338.08,19.72,-820.2,1008.408,324.5661,561.6981,2
-2040,-772,-1432,2040,512,-196,2,0,1,-119.0,-3.48,-915.0399,1169.821,346.7087,283.3097,2
-2040,-1764,-1640,2040,588,-52,1,1,5,-136.4,-181.56,-951.28,1213.835,612.6287,318.9293,2
-2040,-1456,-1896,2040,464,-96,4,4,6,-114.84,-183.68,-924.1599,1248.038,535.2139,357.3539,2
-820,-408,-2040,376,852,872,2,2,2,-165.44,323.56,-725.52,234.3737,352.5064,860.0684,3
-1376,-1480,-2040,712,580,1260,2,1,3,-148.4,34.68,-784.04,326.4791,400.6407,1015.518,3
-648,-796,-2040,560,624,1460,2,2,3,-137.2,4.32,-810.84,225.3953,341.1978,1096.652,3
-864,-712,-2040,1084,712,1152,1,1,2,-158.64,82.92,-789.24,318.4097,410.2584,943.7826,3
-656,-556,-2040,676,684,1380,1,1,2,-103.08,100.64,-809.48,223.5731,304.7363,946.6711,3
