Time (seconds),min_x,min_y,min_z,max_x,max_y,max_z,peaks_x,peaks_y,peaks_z,mean_x,mean_y,mean_z,std_x,std_y,std_z
7.29,-1648,-344,-2040,1220,276,452,3,0,3,-250.44,39.76,-1017.0,563.9702,163.9335,581.6402
10.15,-1820,-516,-1920,1172,248,532,2,0,4,-151.76,-20.4,-1060.56,612.3621,195.7439,607.0234
13.20,-1512,-480,-1928,1192,220,308,5,0,3,-70.88,-13.56,-1066.4,604.899,176.0881,538.7574
15.83,-1740,-616,-2040,1472,252,504,3,1,5,-81.32,-33.64,-1032.16,637.471,230.2604,583.4713
18.24,-1384,-1500,-1948,1232,164,384,3,1,5,-126.96,-31.12,-1010.44,566.6609,202.8363,539.1962
20.74,-1572,-596,-1992,1084,340,260,1,0,6,-139.56,-9.96,-1010.12,588.6801,166.0848,544.1799
23.20,-1584,-456,-1940,940,340,400,0,1,4,-212.44,25.12,-1026.32,546.5563,184.2642,503.7045
25.70,-1468,-344,-1840,1296,480,240,2,2,2,-177.88,20.76,-1026.76,566.4227,179.5717,488.8627
28.21,-1424,-352,-1916,1004,452,-180,0,0,4,-147.72,40.32,-1044.64,554.932,179.9873,475.6457
33.86,-1548,-624,-1920,1140,668,432,3,1,1,-208.36,-0.92,-1067.24,556.4945,289.1133,580.2064
36.46,-1400,-588,-2040,1212,388,424,3,0,5,-120.12,-17.8,-1042.04,576.7816,243.8527,597.8426
41.74,-1360,-568,-2032,1172,368,352,3,0,1,-74.96,-25.68,-1087.68,541.6906,240.622,510.8508
44.74,-1956,-720,-1988,1380,400,256,4,0,5,-145.52,-58.32,-1005.64,699.6179,288.6117,563.7478
47.43,-1548,-500,-2040,1436,556,444,3,1,5,-216.0,33.76,-982.1199,650.7652,231.9147,561.3416
50.88,-1996,-592,-2040,1244,324,520,3,0,6,-289.72,26.68,-993.24,603.4024,223.0294,592.7824
53.99,-1516,-724,-1828,1104,400,452,3,0,2,-215.0,-43.8,-1054.8,568.7863,259.6209,531.2751
57.48,-1508,-404,-2040,1468,292,360,0,0,1,-169.08,25.28,-1020.28,662.0228,195.9926,540.4612
60.22,-1524,-484,-1864,868,320,300,2,0,4,-278.2,-31.44,-994.24,570.115,206.6053,485.3226
63.40,-1720,-600,-1696,1408,356,160,4,0,6,-261.0,-65.44,-999.0,651.7828,233.1561,438.7003
67.28,-1664,-1084,-2040,768,476,480,1,2,5,-355.84,99.2,-944.4799,560.3976,221.3363,603.2993
71.66,-1632,-344,-2040,1032,872,440,2,1,3,-289.92,65.52,-1031.44,547.3717,196.4638,553.2847
74.10,-1452,-356,-1852,800,384,376,2,0,4,-336.24,40.44,-1005.64,511.0725,192.5583,507.9187
77.02,-1476,-508,-1816,928,296,416,1,0,1,-155.28,-33.28,-1051.8,515.383,203.0369,542.2657
79.98,-1656,-436,-1916,1012,328,608,1,0,4,-230.4,-39.2,-1059.08,560.0595,185.26,563.3262
82.51,-1548,-560,-2040,1188,304,380,1,0,5,-237.88,-76.88,-1057.88,580.8472,223.0168,554.1842
