Time (seconds),min_x,min_y,min_z,max_x,max_y,max_z,peaks_x,peaks_y,peaks_z,mean_x,mean_y,mean_z,std_x,std_y,std_z
6.28,-36,128,-1076,-20,144,-1040,0,0,0,-26.68,134.64,-1059.2,4.002204,4.426042,6.480741
10.11,-20,140,-1076,-4,160,-1040,0,0,0,-13.32,149.8,-1057.76,4.527428,4.711605,7.721723
13.06,440,136,-848,640,244,-708,0,0,0,590.96,167.48,-782.92,36.10878,17.98366,21.71837
16.14,448,-692,-628,552,-640,-508,0,0,0,508.84,-661.84,-550.64,19.45106,10.07627,21.15198
19.08,-448,-760,560,-348,-712,732,0,0,0,-389.16,-739.28,652.68,20.01796,11.16076,33.50979
22.39,304,-732,620,372,-696,680,0,0,0,340.84,-713.96,648.12,14.70013,7.275816,11.47416
25.17,-72,-204,1020,-12,-176,1084,0,0,0,-33.8,-191.76,1046.52,10.23523,6.243747,12.29837
27.96,-168,80,1036,-108,112,1088,0,0,0,-141.84,97.68001,1059.2,11.26301,6.201373,11.91113
31.78,-320,-68,-1072,-228,-12,-1028,0,0,0,-270.12,-41.8,-1042.2,14.86423,8.950977,8.5
34.76,-884,148,-648,-824,184,-616,0,0,0,-839.9199,171.84,-629.36,8.982622,5.540335,7.636262
37.55,656,-284,-720,768,-176,-560,0,0,0,691.9199,-223.44,-665.12,23.08341,21.67408,33.97931
40.54,780,-164,500,820,-104,540,0,0,0,802.12,-124.24,516.72,8.108638,11.49359,9.354143
43.91,-156,1012,-132,-96,1048,-68,0,0,0,-124.48,1031.36,-96.48001,13.55613,5.798707,12.44868
46.85,-344,896,392,-312,928,452,0,0,0,-328.8,911.44,426.32,7.267221,7.737894,13.19564
49.68,-312,596,-836,-276,656,-772,0,0,0,-292.28,627.64,-807.84,7.315437,11.17195,12.37942
52.63,-240,8,-1072,-204,48,-1020,0,0,0,-223.28,24.8,-1048.8,7.383999,6.95126,7.416198
55.38,-868,40,-668,-820,96,-620,0,0,0,-840.72,63.92,-648.96,8.131728,8.560019,11.05667
58.21,596,-116,-792,644,-76,-760,0,0,0,613.84,-95.16001,-775.68,9.554122,6.152521,6.78233
61.20,284,-444,-908,344,-396,-840,0,0,0,310.56,-427.12,-884.4399,10.49963,9.985928,12.48249
63.95,-112,644,-856,-68,680,-788,0,0,0,-81.96,662.88,-818.12,8.588294,6.597822,11.62702
67.43,-488,300,-924,-460,336,-896,0,0,0,-475.6,322.08,-909.7199,5.440014,5.865684,5.99479
70.42,556,8,-844,612,72,-772,0,0,0,577.92,34.12,-813.32,9.559027,9.28578,12.45743
73.75,-84,20,-1088,-64,36,-948,0,0,0,-72.84,27.28,-1064.28,4.500543,4.171516,13.67022
79.09,-40,96,-1076,-12,140,-1040,0,0,0,-23.56,117.24,-1061.2,4.661163,5.95171,5.84166
82.26,-292,-1000,-472,-192,-904,-264,0,0,0,-242.12,-954.6,-371.28,25.37685,16.61325,44.40668
