Time (seconds),min_x,min_y,min_z,max_x,max_y,max_z,peaks_x,peaks_y,peaks_z,mean_x,mean_y,mean_z,std_x,std_y,std_z
8.03,-820,-408,-2040,376,852,872,2,2,2,-165.44,323.56,-725.52,234.3737,352.5064,860.0684
12.30,-1376,-1480,-2040,712,580,1260,2,1,3,-148.4,34.68,-784.04,326.4791,400.6407,1015.518
15.10,-648,-796,-2040,560,624,1460,2,2,3,-137.2,4.32,-810.84,225.3953,341.1978,1096.652
19.29,-864,-712,-2040,1084,712,1152,1,1,2,-158.64,82.92,-789.24,318.4097,410.2584,943.7826
21.84,-656,-556,-2040,676,684,1380,1,1,2,-103.08,100.64,-809.48,223.5731,304.7363,946.6711
24.44,-952,-804,-2040,1000,700,912,5,4,2,-86.16,136.36,-840.72,274.9408,328.2697,868.2608
26.80,-732,-956,-2040,604,836,1184,0,3,1,-22.88,120.68,-803.5999,275.4395,388.9921,945.5853
29.19,-644,-1096,-2040,512,712,708,3,0,1,-62.0,110.04,-866.96,229.0233,328.5257,896.9854
32.47,-752,-564,-2040,444,648,1572,3,1,1,-139.08,9.96,-894.1199,279.5109,275.7068,1026.272
35.66,-708,-616,-2040,588,516,1496,1,1,4,-83.28,7.4,-868.68,243.6433,225.131,1002.649
38.45,-820,-564,-2040,864,612,1300,2,0,2,-102.04,-22.24,-944.88,295.1688,260.2044,993.0769
41.60,-364,-428,-2040,684,400,448,1,1,1,16.16,74.84,-849.56,193.149,211.7895,864.8645
44.13,-504,-756,-2040,436,560,524,0,0,1,-27.08,104.6,-829.92,201.5578,254.4116,811.872
46.73,-388,-396,-2040,664,748,520,0,1,2,-34.72,130.56,-886.7599,222.1494,236.4068,832.4854
51.00,-348,-388,-2040,556,524,800,1,0,1,-27.36,47.92,-933.7199,180.0513,260.2061,946.6884
55.83,-1080,-480,-2040,536,700,1116,1,1,2,-49.04,62.96,-872.68,232.6781,279.162,956.9226
58.49,-652,-520,-2040,544,452,708,2,1,0,-24.92,26.24,-922.84,233.3786,258.2137,904.5157
61.75,-1188,-340,-2040,512,1196,628,0,0,1,-133.48,61.76,-874.52,299.7416,263.1905,920.9545
64.70,-556,-796,-2040,1160,376,960,2,1,2,282.04,-68.12,-862.1599,394.5786,215.375,936.1038
66.99,-572,-332,-2040,632,568,856,0,0,2,-98.6,21.32,-925.56,229.8593,174.7703,987.5072
69.38,-984,-236,-2040,364,968,904,1,0,2,-76.48,52.0,-753.28,252.7179,204.0149,932.7142
71.90,-556,-476,-2040,596,544,576,0,0,1,-32.52,132.64,-829.88,214.045,225.8309,878.1974
74.37,-448,-604,-2040,424,532,780,0,1,2,-72.8,135.84,-865.1199,189.944,243.9658,897.0175
77.00,-496,-448,-2040,560,572,700,0,1,2,-81.4,177.8,-879.56,244.9094,218.5372,774.7011
79.25,-332,-464,-2040,360,568,500,0,0,1,-62.48,102.12,-888.2,148.0473,218.8292,851.2197
