OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 01/2020 To 11/2023 | Facility=MCO, ACY, AMA, ANC, APA, ATL, AUS, AVL, BCT, BDL, BED, BFI, BFM, BJC, BKL, BNA, BOS, BTR, BUF, BWI, BZN, CHO, CHS, CID, CMA, CMH, DAL, DCA, DEN, DSM, DTW, EGE, EWR, EYW, FAT, FAY, FDK, FLL, FSD, FSM, FTW, FTY, FXE, GEG, GRB, GRR, GSO, GYY, HEF, HNL, HOU, HPN, HSV, HXD, IAD, IAH, ICT, IFP, IND, INT, ISM, ITO, IXD, JAX, KOA, LAS, LAX, LEX, LFT, LGB, LIH, LIT, LRD, LUK, MAF, MCI, MDW, MEM, MHT, MIA, MKC, MKE, MMU, MOB, MSP, MSY, NEW, OAK, OGG, OMA, OPF, ORD, ORF, PBI, PDK, PIE, PSP, PVU, PWK, RDU, ROA, RST, SAF, SAN, SAT, SAV, SBA, SDL, SEA, SFO, SHV, SJC, SLC, STL, STP, STS, STT, SUS, SWF, TEB, TMB, TPA, TTN, TXK, TYS, UGN, VNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Facility,State,Region,DDSO,Class,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,,,,Service,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
,,,,Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-20,ACY,NJ,AEA,EN,Combined TRACON & Tower with Radar,633,330,448,790,"2,201",0,0,3,3,6,0,20,646,592,"1,258",1,1,20,8,30,252,960,"1,212","4,671","4,707",
Jan-20,AMA,TX,ASW,WE,Combined TRACON & Tower with Radar,650,475,999,"1,272","3,396",0,1,10,5,16,0,16,293,109,418,0,26,186,43,255,376,"1,190","1,566","5,380","5,651",
Jan-20,ANC,AK,AAL,WE,Towers with Radar,"7,765","4,323",629,181,"12,898",31,53,39,198,321,15,517,"1,277",37,"1,846",0,32,87,54,173,342,0,342,"15,086","15,580",
Jan-20,APA,CO,ANM,WE,Towers with Radar,1,"2,257","3,326",173,"5,757",0,7,13,2,22,0,533,"8,595",116,"9,244",0,98,394,7,499,"14,386",52,"14,438","29,439","29,960",
Jan-20,ATL,GA,ASO,ES,Towers with Radar,"65,997","7,064",289,2,"73,352",54,14,39,2,109,0,6,123,12,141,0,21,146,100,267,0,0,0,"73,493","73,869",
Jan-20,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,"11,319","1,300","2,172",224,"15,015",0,0,0,0,0,1,14,"1,082",211,"1,308",0,0,0,0,0,56,0,56,"16,379","16,379",
